CASE_NUMBER,gross_site_area_acres,council_district,acreage,frontage,corner_lot_flag
C14-2018-0124,0.0,0.0,0.0,0.0,1
C14-2009-0102,0.0,0.0,0.0,0.0,0
C14-2021-0130,0.0,0.0,0.0,0.0,0
C14-2010-0048,0.0,0.0,0.0,0.0,0
C14-2022-0008.SH,0.0,1.0,0.0,0.0,0
C14-2010-0052,18.357,0.0,18.357,917.8499999999999,0
C14-2010-0052,18.357,0.0,18.357,917.8499999999999,1
C14-2010-0052,18.357,0.0,18.357,917.8499999999999,1
C14-2010-0052,18.357,0.0,18.357,917.8499999999999,0
C14-2008-0060,124.83,0.0,124.83,6241.5,0
C14-2008-0088,0.0,0.0,0.0,0.0,1
C14-2010-0204,22.231,0.0,22.231,1111.5500000000002,1
