CASE_NUMBER,council_member,vote
C14-2010-0206,CM_3,NO
C14-2010-0206,CM_4,YES
C14-2010-0206,CM_5,YES
C14-2010-0206,CM_6,YES
C14-2010-0206,CM_7,YES
C14-2010-0206,CM_8,NO
C14-2010-0206,CM_9,YES
C14-2010-0206,CM_10,YES
C14H-2010-0006,Mayor,YES
C14H-2010-0006,CM_1,NO
C14H-2010-0006,CM_2,YES
C14H-2010-0006,CM_3,YES
C14H-2010-0006,CM_4,YES
C14H-2010-0006,CM_5,YES
C14H-2010-0006,CM_6,NO
C14H-2010-0006,CM_7,YES
C14H-2010-0006,CM_8,YES
C14H-2010-0006,CM_9,YES
C14H-2010-0006,CM_10,YES
C14H-2010-0006,Mayor,YES
C14H-2010-0006,CM_1,YES
C14H-2010-0006,CM_2,YES
C14H-2010-0006,CM_3,YES
C14H-2010-0006,CM_4,YES
C14H-2010-0006,CM_5,YES
C14H-2010-0006,CM_6,YES
C14H-2010-0006,CM_7,YES
C14H-2010-0006,CM_8,NO
C14H-2010-0006,CM_9,YES
C14H-2010-0006,CM_10,YES
C14H-2010-0006,Mayor,YES
C14H-2010-0006,CM_1,NO
C14H-2010-0006,CM_2,YES
C14H-2010-0006,CM_3,NO
C14H-2010-0006,CM_4,YES
C14H-2010-0006,CM_5,YES
C14H-2010-0006,CM_6,YES
C14H-2010-0006,CM_7,NO
C14H-2010-0006,CM_8,YES
C14H-2010-0006,CM_9,YES
C14H-2010-0006,CM_10,YES
C14H-2010-0006,Mayor,YES
C14H-2010-0006,CM_1,NO
C14H-2010-0006,CM_2,YES
C14H-2010-0006,CM_3,YES
C14H-2010-0006,CM_4,YES
C14H-2010-0006,CM_5,YES
C14H-2010-0006,CM_6,YES
C14H-2010-0006,CM_7,YES
C14H-2010-0006,CM_8,YES
C14H-2010-0006,CM_9,YES
C14H-2010-0006,CM_10,NO
C14H-2010-0019,Mayor,YES
C14H-2010-0019,CM_1,YES
C14H-2010-0019,CM_2,NO
C14H-2010-0019,CM_3,YES
C14H-2010-0019,CM_4,YES
C14H-2010-0019,CM_5,YES
C14H-2010-0019,CM_6,NO
C14H-2010-0019,CM_7,YES
C14H-2010-0019,CM_8,YES
C14H-2010-0019,CM_9,YES
C14H-2010-0019,CM_10,YES
C14H-2010-0019,Mayor,NO
C14H-2010-0019,CM_1,YES
C14H-2010-0019,CM_2,YES
C14H-2010-0019,CM_3,YES
C14H-2010-0019,CM_4,YES
C14H-2010-0019,CM_5,YES
C14H-2010-0019,CM_6,YES
C14H-2010-0019,CM_7,YES
C14H-2010-0019,CM_8,YES
C14H-2010-0019,CM_9,YES
C14H-2010-0019,CM_10,YES
C14-2011-0054,Mayor,YES
C14-2011-0054,CM_1,YES
C14-2011-0054,CM_2,NO
C14-2011-0054,CM_3,YES
C14-2011-0054,CM_4,YES
C14-2011-0054,CM_5,YES
C14-2011-0054,CM_6,YES
C14-2011-0054,CM_7,YES
C14-2011-0054,CM_8,YES
C14-2011-0054,CM_9,YES
C14-2011-0054,CM_10,YES
C14-2011-0058,Mayor,NO
C14-2011-0058,CM_1,NO
C14-2011-0058,CM_2,NO
C14-2011-0058,CM_3,YES
C14-2011-0058,CM_4,YES
C14-2011-0058,CM_5,YES
C14-2011-0058,CM_6,YES
C14-2011-0058,CM_7,YES
C14-2011-0058,CM_8,YES
C14-2011-0058,CM_9,YES
C14-2011-0058,CM_10,YES
C14-2011-0058,Mayor,YES
C14-2011-0058,CM_1,YES
C14-2011-0058,CM_2,YES
C14-2011-0058,CM_3,YES
C14-2011-0058,CM_4,YES
C14-2011-0058,CM_5,NO
C14-2011-0058,CM_6,YES
C14-2011-0058,CM_7,YES
C14-2011-0058,CM_8,NO
C14-2011-0058,CM_9,YES
C14-2011-0058,CM_10,YES
C14-2011-0058,Mayor,YES
C14-2011-0058,CM_1,NO
C14-2011-0058,CM_2,NO
C14-2011-0058,CM_3,YES
C14-2011-0058,CM_4,YES
C14-2011-0058,CM_5,YES
C14-2011-0058,CM_6,YES
C14-2011-0058,CM_7,YES
C14-2011-0058,CM_8,YES
C14-2011-0058,CM_9,NO
C14-2011-0058,CM_10,YES
C14-2010-0079,Mayor,YES
C14-2010-0079,CM_1,YES
C14-2010-0079,CM_2,YES
C14-2010-0079,CM_3,YES
C14-2010-0079,CM_4,YES
C14-2010-0079,CM_5,YES
C14-2010-0079,CM_6,YES
C14-2010-0079,CM_7,NO
C14-2010-0079,CM_8,YES
C14-2010-0079,CM_9,NO
C14-2010-0079,CM_10,YES
C14-2011-0133,Mayor,YES
C14-2011-0133,CM_1,YES
C14-2011-0133,CM_2,NO
C14-2011-0133,CM_3,YES
C14-2011-0133,CM_4,YES
C14-2011-0133,CM_5,YES
C14-2011-0133,CM_6,YES
C14-2011-0133,CM_7,YES
C14-2011-0133,CM_8,YES
C14-2011-0133,CM_9,NO
C14-2011-0133,CM_10,NO
C14-2011-0133,Mayor,YES
C14-2011-0133,CM_1,NO
C14-2011-0133,CM_2,YES
C14-2011-0133,CM_3,NO
C14-2011-0133,CM_4,YES
C14-2011-0133,CM_5,YES
C14-2011-0133,CM_6,YES
C14-2011-0133,CM_7,NO
C14-2011-0133,CM_8,YES
C14-2011-0133,CM_9,YES
C14-2011-0133,CM_10,YES
C14-2011-0133,Mayor,YES
C14-2011-0133,CM_1,NO
C14-2011-0133,CM_2,YES
C14-2011-0133,CM_3,YES
C14-2011-0133,CM_4,YES
C14-2011-0133,CM_5,YES
C14-2011-0133,CM_6,YES
C14-2011-0133,CM_7,YES
C14-2011-0133,CM_8,YES
C14-2011-0133,CM_9,YES
C14-2011-0133,CM_10,YES
C14-2011-0133,Mayor,YES
C14-2011-0133,CM_1,YES
C14-2011-0133,CM_2,YES
C14-2011-0133,CM_3,YES
C14-2011-0133,CM_4,YES
C14-2011-0133,CM_5,YES
C14-2011-0133,CM_6,YES
C14-2011-0133,CM_7,YES
C14-2011-0133,CM_8,YES
C14-2011-0133,CM_9,NO
C14-2011-0133,CM_10,YES
C14-2011-0133,Mayor,YES
C14-2011-0133,CM_1,YES
C14-2011-0133,CM_2,YES
C14-2011-0133,CM_3,YES
C14-2011-0133,CM_4,YES
C14-2011-0133,CM_5,NO
C14-2011-0133,CM_6,YES
C14-2011-0133,CM_7,YES
C14-2011-0133,CM_8,YES
C14-2011-0133,CM_9,YES
C14-2011-0133,CM_10,YES
C14-2011-0133,Mayor,YES
C14-2011-0133,CM_1,YES
C14-2011-0133,CM_2,YES
C14-2011-0133,CM_3,NO
C14-2011-0133,CM_4,NO
C14-2011-0133,CM_5,YES
C14-2011-0133,CM_6,YES
C14-2011-0133,CM_7,YES
C14-2011-0133,CM_8,YES
C14-2011-0133,CM_9,YES
C14-2011-0133,CM_10,YES
C14-2011-0133,Mayor,YES
C14-2011-0133,CM_1,YES
C14-2011-0133,CM_2,NO
C14-2011-0133,CM_3,YES
C14-2011-0133,CM_4,YES
C14-2011-0133,CM_5,YES
C14-2011-0133,CM_6,YES
C14-2011-0133,CM_7,YES
C14-2011-0133,CM_8,YES
C14-2011-0133,CM_9,YES
C14-2011-0133,CM_10,YES
C14-2011-0133,Mayor,NO
C14-2011-0133,CM_1,YES
C14-2011-0133,CM_2,NO
C14-2011-0133,CM_3,NO
C14-2011-0133,CM_4,YES
C14-2011-0133,CM_5,YES
C14-2011-0133,CM_6,YES
C14-2011-0133,CM_7,YES
C14-2011-0133,CM_8,YES
C14-2011-0133,CM_9,YES
C14-2011-0133,CM_10,YES
C14-2011-0134,Mayor,YES
C14-2011-0134,CM_1,YES
C14-2011-0134,CM_2,YES
C14-2011-0134,CM_3,YES
C14-2011-0134,CM_4,NO
C14-2011-0134,CM_5,YES
C14-2011-0134,CM_6,NO
C14-2011-0134,CM_7,NO
C14-2011-0134,CM_8,YES
C14-2011-0134,CM_9,YES
C14-2011-0134,CM_10,YES
C14-2011-0134,Mayor,YES
C14-2011-0134,CM_1,YES
C14-2011-0134,CM_2,NO
C14-2011-0134,CM_3,YES
C14-2011-0134,CM_4,YES
C14-2011-0134,CM_5,YES
C14-2011-0134,CM_6,YES
C14-2011-0134,CM_7,YES
C14-2011-0134,CM_8,YES
C14-2011-0134,CM_9,YES
C14-2011-0134,CM_10,YES
C14-2011-0134,Mayor,YES
C14-2011-0134,CM_1,YES
C14-2011-0134,CM_2,YES
C14-2011-0134,CM_3,YES
C14-2011-0134,CM_4,YES
C14-2011-0134,CM_5,NO
C14-2011-0134,CM_6,YES
C14-2011-0134,CM_7,YES
C14-2011-0134,CM_8,YES
C14-2011-0134,CM_9,NO
C14-2011-0134,CM_10,YES
C14-2011-0134,Mayor,NO
C14-2011-0134,CM_1,YES
C14-2011-0134,CM_2,YES
C14-2011-0134,CM_3,YES
C14-2011-0134,CM_4,YES
C14-2011-0134,CM_5,NO
C14-2011-0134,CM_6,YES
C14-2011-0134,CM_7,NO
C14-2011-0134,CM_8,YES
C14-2011-0134,CM_9,YES
C14-2011-0134,CM_10,YES
C14-2011-0134,Mayor,YES
C14-2011-0134,CM_1,YES
C14-2011-0134,CM_2,NO
C14-2011-0134,CM_3,YES
C14-2011-0134,CM_4,YES
C14-2011-0134,CM_5,YES
C14-2011-0134,CM_6,NO
C14-2011-0134,CM_7,YES
C14-2011-0134,CM_8,YES
C14-2011-0134,CM_9,YES
C14-2011-0134,CM_10,YES
C14-2011-0134,Mayor,YES
C14-2011-0134,CM_1,NO
C14-2011-0134,CM_2,YES
C14-2011-0134,CM_3,NO
C14-2011-0134,CM_4,YES
C14-2011-0134,CM_5,YES
C14-2011-0134,CM_6,YES
C14-2011-0134,CM_7,YES
C14-2011-0134,CM_8,YES
C14-2011-0134,CM_9,YES
C14-2011-0134,CM_10,YES
C14-2011-0134,Mayor,YES
C14-2011-0134,CM_1,NO
C14-2011-0134,CM_2,YES
C14-2011-0134,CM_3,YES
C14-2011-0134,CM_4,YES
C14-2011-0134,CM_5,YES
C14-2011-0134,CM_6,YES
C14-2011-0134,CM_7,YES
C14-2011-0134,CM_8,NO
C14-2011-0134,CM_9,YES
C14-2011-0134,CM_10,YES
C14-2011-0134,Mayor,NO
C14-2011-0134,CM_1,YES
C14-2011-0134,CM_2,YES
C14-2011-0134,CM_3,YES
C14-2011-0134,CM_4,YES
C14-2011-0134,CM_5,NO
C14-2011-0134,CM_6,YES
C14-2011-0134,CM_7,YES
C14-2011-0134,CM_8,YES
C14-2011-0134,CM_9,YES
C14-2011-0134,CM_10,YES
C14-2011-0141,Mayor,YES
C14-2011-0141,CM_1,YES
C14-2011-0141,CM_2,YES
C14-2011-0141,CM_3,YES
C14-2011-0141,CM_4,YES
C14-2011-0141,CM_5,YES
C14-2011-0141,CM_6,YES
C14-2011-0141,CM_7,YES
C14-2011-0141,CM_8,NO
C14-2011-0141,CM_9,NO
C14-2011-0141,CM_10,NO
C14-2011-0141,Mayor,YES
C14-2011-0141,CM_1,YES
C14-2011-0141,CM_2,NO
C14-2011-0141,CM_3,YES
C14-2011-0141,CM_4,YES
C14-2011-0141,CM_5,YES
C14-2011-0141,CM_6,YES
C14-2011-0141,CM_7,YES
C14-2011-0141,CM_8,YES
C14-2011-0141,CM_9,YES
C14-2011-0141,CM_10,YES
C14-2011-0141,Mayor,YES
C14-2011-0141,CM_1,YES
C14-2011-0141,CM_2,YES
C14-2011-0141,CM_3,YES
C14-2011-0141,CM_4,YES
C14-2011-0141,CM_5,YES
C14-2011-0141,CM_6,YES
C14-2011-0141,CM_7,NO
C14-2011-0141,CM_8,YES
C14-2011-0141,CM_9,YES
C14-2011-0141,CM_10,YES
C14-2011-0141,Mayor,YES
C14-2011-0141,CM_1,YES
C14-2011-0141,CM_2,YES
C14-2011-0141,CM_3,YES
C14-2011-0141,CM_4,YES
C14-2011-0141,CM_5,NO
C14-2011-0141,CM_6,NO
C14-2011-0141,CM_7,YES
C14-2011-0141,CM_8,YES
C14-2011-0141,CM_9,NO
C14-2011-0141,CM_10,YES
C14-2011-0141,Mayor,YES
C14-2011-0141,CM_1,YES
C14-2011-0141,CM_2,NO
C14-2011-0141,CM_3,NO
C14-2011-0141,CM_4,YES
C14-2011-0141,CM_5,YES
C14-2011-0141,CM_6,YES
C14-2011-0141,CM_7,YES
C14-2011-0141,CM_8,YES
C14-2011-0141,CM_9,YES
C14-2011-0141,CM_10,YES
C14-2011-0141,Mayor,YES
C14-2011-0141,CM_1,NO
C14-2011-0141,CM_2,YES
C14-2011-0141,CM_3,YES
C14-2011-0141,CM_4,YES
C14-2011-0141,CM_5,YES
C14-2011-0141,CM_6,YES
C14-2011-0141,CM_7,YES
C14-2011-0141,CM_8,YES
C14-2011-0141,CM_9,NO
C14-2011-0141,CM_10,YES
C14-2011-0141,Mayor,YES
C14-2011-0141,CM_1,YES
C14-2011-0141,CM_2,YES
C14-2011-0141,CM_3,YES
C14-2011-0141,CM_4,NO
C14-2011-0141,CM_5,YES
C14-2011-0141,CM_6,NO
C14-2011-0141,CM_7,YES
C14-2011-0141,CM_8,YES
C14-2011-0141,CM_9,YES
C14-2011-0141,CM_10,NO
C14-2011-0141,Mayor,YES
C14-2011-0141,CM_1,YES
C14-2011-0141,CM_2,YES
C14-2011-0141,CM_3,YES
C14-2011-0141,CM_4,YES
C14-2011-0141,CM_5,NO
C14-2011-0141,CM_6,NO
C14-2011-0141,CM_7,YES
C14-2011-0141,CM_8,YES
C14-2011-0141,CM_9,YES
C14-2011-0141,CM_10,YES
C14-2011-0032,Mayor,YES
C14-2011-0032,CM_1,NO
C14-2011-0032,CM_2,YES
C14-2011-0032,CM_3,YES
C14-2011-0032,CM_4,NO
C14-2011-0032,CM_5,YES
C14-2011-0032,CM_6,YES
C14-2011-0032,CM_7,YES
C14-2011-0032,CM_8,YES
C14-2011-0032,CM_9,YES
C14-2011-0032,CM_10,YES
C14-2012-0052,Mayor,YES
C14-2012-0052,CM_1,YES
C14-2012-0052,CM_2,YES
C14-2012-0052,CM_3,YES
C14-2012-0052,CM_4,YES
C14-2012-0052,CM_5,YES
C14-2012-0052,CM_6,YES
C14-2012-0052,CM_7,NO
C14-2012-0052,CM_8,YES
C14-2012-0052,CM_9,YES
C14-2012-0052,CM_10,NO
C14-2012-0052,Mayor,YES
C14-2012-0052,CM_1,YES
C14-2012-0052,CM_2,YES
C14-2012-0052,CM_3,YES
C14-2012-0052,CM_4,YES
C14-2012-0052,CM_5,NO
C14-2012-0052,CM_6,YES
C14-2012-0052,CM_7,YES
C14-2012-0052,CM_8,YES
C14-2012-0052,CM_9,NO
C14-2012-0052,CM_10,YES
C14-2012-0052,Mayor,YES
C14-2012-0052,CM_1,YES
C14-2012-0052,CM_2,YES
C14-2012-0052,CM_3,NO
C14-2012-0052,CM_4,YES
C14-2012-0052,CM_5,YES
C14-2012-0052,CM_6,YES
C14-2012-0052,CM_7,YES
C14-2012-0052,CM_8,YES
C14-2012-0052,CM_9,YES
C14-2012-0052,CM_10,YES
C14-2012-0052,Mayor,YES
C14-2012-0052,CM_1,YES
C14-2012-0052,CM_2,YES
C14-2012-0052,CM_3,YES
C14-2012-0052,CM_4,YES
C14-2012-0052,CM_5,YES
C14-2012-0052,CM_6,NO
C14-2012-0052,CM_7,YES
C14-2012-0052,CM_8,YES
C14-2012-0052,CM_9,YES
C14-2012-0052,CM_10,NO
C14-2012-0052,Mayor,YES
C14-2012-0052,CM_1,NO
C14-2012-0052,CM_2,YES
C14-2012-0052,CM_3,YES
C14-2012-0052,CM_4,YES
C14-2012-0052,CM_5,YES
C14-2012-0052,CM_6,YES
C14-2012-0052,CM_7,YES
C14-2012-0052,CM_8,YES
C14-2012-0052,CM_9,YES
C14-2012-0052,CM_10,YES
C14-2012-0052,Mayor,YES
C14-2012-0052,CM_1,YES
C14-2012-0052,CM_2,NO
C14-2012-0052,CM_3,YES
C14-2012-0052,CM_4,YES
C14-2012-0052,CM_5,YES
C14-2012-0052,CM_6,NO
C14-2012-0052,CM_7,YES
C14-2012-0052,CM_8,NO
C14-2012-0052,CM_9,YES
C14-2012-0052,CM_10,YES
C14-2012-0067,Mayor,YES
C14-2012-0067,CM_1,NO
C14-2012-0067,CM_2,YES
C14-2012-0067,CM_3,YES
C14-2012-0067,CM_4,YES
C14-2012-0067,CM_5,YES
C14-2012-0067,CM_6,YES
C14-2012-0067,CM_7,YES
C14-2012-0067,CM_8,YES
C14-2012-0067,CM_9,YES
C14-2012-0067,CM_10,NO
C14-2012-0067,Mayor,NO
C14-2012-0067,CM_1,YES
C14-2012-0067,CM_2,YES
C14-2012-0067,CM_3,NO
C14-2012-0067,CM_4,YES
C14-2012-0067,CM_5,YES
C14-2012-0067,CM_6,YES
C14-2012-0067,CM_7,YES
C14-2012-0067,CM_8,YES
C14-2012-0067,CM_9,YES
C14-2012-0067,CM_10,NO
C14-2012-0067,Mayor,YES
C14-2012-0067,CM_1,YES
C14-2012-0067,CM_2,YES
C14-2012-0067,CM_3,YES
C14-2012-0067,CM_4,NO
C14-2012-0067,CM_5,YES
C14-2012-0067,CM_6,YES
C14-2012-0067,CM_7,NO
C14-2012-0067,CM_8,YES
C14-2012-0067,CM_9,YES
C14-2012-0067,CM_10,YES
C14-2012-0067,Mayor,YES
C14-2012-0067,CM_1,YES
C14-2012-0067,CM_2,YES
C14-2012-0067,CM_3,YES
C14-2012-0067,CM_4,YES
C14-2012-0067,CM_5,YES
C14-2012-0067,CM_6,YES
C14-2012-0067,CM_7,YES
C14-2012-0067,CM_8,YES
C14-2012-0067,CM_9,NO
C14-2012-0067,CM_10,YES
C14-2012-0067,Mayor,YES
C14-2012-0067,CM_1,NO
C14-2012-0067,CM_2,YES
C14-2012-0067,CM_3,YES
C14-2012-0067,CM_4,YES
C14-2012-0067,CM_5,YES
C14-2012-0067,CM_6,YES
C14-2012-0067,CM_7,YES
C14-2012-0067,CM_8,YES
C14-2012-0067,CM_9,YES
C14-2012-0067,CM_10,NO
C14-2012-0083,Mayor,YES
C14-2012-0083,CM_1,YES
C14-2012-0083,CM_2,YES
C14-2012-0083,CM_3,YES
C14-2012-0083,CM_4,NO
C14-2012-0083,CM_5,YES
C14-2012-0083,CM_6,YES
C14-2012-0083,CM_7,YES
C14-2012-0083,CM_8,YES
C14-2012-0083,CM_9,YES
C14-2012-0083,CM_10,YES
C14-2012-0083,Mayor,NO
C14-2012-0083,CM_1,YES
C14-2012-0083,CM_2,YES
C14-2012-0083,CM_3,YES
C14-2012-0083,CM_4,NO
C14-2012-0083,CM_5,YES
C14-2012-0083,CM_6,YES
C14-2012-0083,CM_7,YES
C14-2012-0083,CM_8,YES
C14-2012-0083,CM_9,YES
C14-2012-0083,CM_10,NO
C14-2012-0083,Mayor,YES
C14-2012-0083,CM_1,YES
C14-2012-0083,CM_2,YES
C14-2012-0083,CM_3,YES
C14-2012-0083,CM_4,YES
C14-2012-0083,CM_5,NO
C14-2012-0083,CM_6,YES
C14-2012-0083,CM_7,YES
C14-2012-0083,CM_8,YES
C14-2012-0083,CM_9,YES
C14-2012-0083,CM_10,NO
C14-2012-0083,Mayor,YES
C14-2012-0083,CM_1,YES
C14-2012-0083,CM_2,YES
C14-2012-0083,CM_3,YES
C14-2012-0083,CM_4,YES
C14-2012-0083,CM_5,YES
C14-2012-0083,CM_6,YES
C14-2012-0083,CM_7,YES
C14-2012-0083,CM_8,YES
C14-2012-0083,CM_9,YES
C14-2012-0083,CM_10,NO
C14-2012-0083,Mayor,YES
C14-2012-0083,CM_1,YES
C14-2012-0083,CM_2,YES
C14-2012-0083,CM_3,NO
C14-2012-0083,CM_4,YES
C14-2012-0083,CM_5,YES
C14-2012-0083,CM_6,YES
C14-2012-0083,CM_7,YES
C14-2012-0083,CM_8,YES
C14-2012-0083,CM_9,YES
C14-2012-0083,CM_10,NO
C14-2012-0083,Mayor,YES
C14-2012-0083,CM_1,NO
C14-2012-0083,CM_2,YES
C14-2012-0083,CM_3,NO
C14-2012-0083,CM_4,YES
C14-2012-0083,CM_5,YES
C14-2012-0083,CM_6,YES
C14-2012-0083,CM_7,YES
C14-2012-0083,CM_8,YES
C14-2012-0083,CM_9,YES
C14-2012-0083,CM_10,YES
C14-2012-0083,Mayor,YES
C14-2012-0083,CM_1,YES
C14-2012-0083,CM_2,YES
C14-2012-0083,CM_3,YES
C14-2012-0083,CM_4,YES
C14-2012-0083,CM_5,YES
C14-2012-0083,CM_6,YES
C14-2012-0083,CM_7,YES
C14-2012-0083,CM_8,YES
C14-2012-0083,CM_9,YES
C14-2012-0083,CM_10,NO
C14-2012-0083,Mayor,YES
C14-2012-0083,CM_1,YES
C14-2012-0083,CM_2,YES
C14-2012-0083,CM_3,NO
C14-2012-0083,CM_4,NO
C14-2012-0083,CM_5,YES
C14-2012-0083,CM_6,YES
C14-2012-0083,CM_7,YES
C14-2012-0083,CM_8,YES
C14-2012-0083,CM_9,YES
C14-2012-0083,CM_10,NO
C14-2012-0097,Mayor,YES
C14-2012-0097,CM_1,NO
C14-2012-0097,CM_2,YES
C14-2012-0097,CM_3,YES
C14-2012-0097,CM_4,YES
C14-2012-0097,CM_5,YES
C14-2012-0097,CM_6,YES
C14-2012-0097,CM_7,YES
C14-2012-0097,CM_8,NO
C14-2012-0097,CM_9,YES
C14-2012-0097,CM_10,NO
C14-2012-0097,Mayor,YES
C14-2012-0097,CM_1,YES
C14-2012-0097,CM_2,NO
C14-2012-0097,CM_3,YES
C14-2012-0097,CM_4,YES
C14-2012-0097,CM_5,YES
C14-2012-0097,CM_6,YES
C14-2012-0097,CM_7,YES
C14-2012-0097,CM_8,YES
C14-2012-0097,CM_9,YES
C14-2012-0097,CM_10,YES
C14-2012-0097,Mayor,YES
C14-2012-0097,CM_1,NO
C14-2012-0097,CM_2,YES
C14-2012-0097,CM_3,YES
C14-2012-0097,CM_4,YES
C14-2012-0097,CM_5,YES
C14-2012-0097,CM_6,YES
C14-2012-0097,CM_7,YES
C14-2012-0097,CM_8,YES
C14-2012-0097,CM_9,NO
C14-2012-0097,CM_10,YES
C14-2012-0097,Mayor,YES
C14-2012-0097,CM_1,YES
C14-2012-0097,CM_2,YES
C14-2012-0097,CM_3,NO
C14-2012-0097,CM_4,YES
C14-2012-0097,CM_5,YES
C14-2012-0097,CM_6,NO
C14-2012-0097,CM_7,YES
C14-2012-0097,CM_8,YES
C14-2012-0097,CM_9,YES
C14-2012-0097,CM_10,YES
C14-2012-0097,Mayor,YES
C14-2012-0097,CM_1,YES
C14-2012-0097,CM_2,YES
C14-2012-0097,CM_3,YES
C14-2012-0097,CM_4,YES
C14-2012-0097,CM_5,YES
C14-2012-0097,CM_6,YES
C14-2012-0097,CM_7,NO
C14-2012-0097,CM_8,YES
C14-2012-0097,CM_9,NO
C14-2012-0097,CM_10,YES
C14-2012-0097,Mayor,YES
C14-2012-0097,CM_1,YES
C14-2012-0097,CM_2,YES
C14-2012-0097,CM_3,YES
C14-2012-0097,CM_4,NO
C14-2012-0097,CM_5,YES
C14-2012-0097,CM_6,NO
C14-2012-0097,CM_7,NO
C14-2012-0097,CM_8,YES
C14-2012-0097,CM_9,YES
C14-2012-0097,CM_10,YES
C14-2012-0100,Mayor,YES
C14-2012-0100,CM_1,YES
C14-2012-0100,CM_2,YES
C14-2012-0100,CM_3,YES
C14-2012-0100,CM_4,YES
C14-2012-0100,CM_5,YES
C14-2012-0100,CM_6,YES
C14-2012-0100,CM_7,YES
C14-2012-0100,CM_8,YES
C14-2012-0100,CM_9,YES
C14-2012-0100,CM_10,YES
C14-2012-0100,Mayor,YES
C14-2012-0100,CM_1,YES
C14-2012-0100,CM_2,YES
C14-2012-0100,CM_3,YES
C14-2012-0100,CM_4,YES
C14-2012-0100,CM_5,YES
C14-2012-0100,CM_6,YES
C14-2012-0100,CM_7,YES
C14-2012-0100,CM_8,YES
C14-2012-0100,CM_9,YES
C14-2012-0100,CM_10,YES
C14-2012-0100,Mayor,YES
C14-2012-0100,CM_1,YES
C14-2012-0100,CM_2,YES
C14-2012-0100,CM_3,YES
C14-2012-0100,CM_4,YES
C14-2012-0100,CM_5,YES
C14-2012-0100,CM_6,YES
C14-2012-0100,CM_7,YES
C14-2012-0100,CM_8,YES
C14-2012-0100,CM_9,YES
C14-2012-0100,CM_10,YES
C14-2012-0100,Mayor,YES
C14-2012-0100,CM_1,YES
C14-2012-0100,CM_2,YES
C14-2012-0100,CM_3,YES
C14-2012-0100,CM_4,YES
C14-2012-0100,CM_5,YES
C14-2012-0100,CM_6,YES
C14-2012-0100,CM_7,YES
C14-2012-0100,CM_8,YES
C14-2012-0100,CM_9,YES
C14-2012-0100,CM_10,YES
C14-2012-0100,Mayor,YES
C14-2012-0100,CM_1,YES
C14-2012-0100,CM_2,YES
C14-2012-0100,CM_3,YES
C14-2012-0100,CM_4,YES
C14-2012-0100,CM_5,YES
C14-2012-0100,CM_6,YES
C14-2012-0100,CM_7,YES
C14-2012-0100,CM_8,YES
C14-2012-0100,CM_9,YES
C14-2012-0100,CM_10,YES
C14-2012-0109,Mayor,YES
C14-2012-0109,CM_1,NO
C14-2012-0109,CM_2,YES
C14-2012-0109,CM_3,NO
C14-2012-0109,CM_4,YES
C14-2012-0109,CM_5,YES
C14-2012-0109,CM_6,YES
C14-2012-0109,CM_7,YES
C14-2012-0109,CM_8,YES
C14-2012-0109,CM_9,YES
C14-2012-0109,CM_10,YES
C14-2012-0109,Mayor,YES
C14-2012-0109,CM_1,YES
C14-2012-0109,CM_2,YES
C14-2012-0109,CM_3,YES
C14-2012-0109,CM_4,YES
C14-2012-0109,CM_5,NO
C14-2012-0109,CM_6,NO
C14-2012-0109,CM_7,YES
C14-2012-0109,CM_8,YES
C14-2012-0109,CM_9,YES
C14-2012-0109,CM_10,YES
C14-2012-0109,Mayor,NO
C14-2012-0109,CM_1,YES
C14-2012-0109,CM_2,YES
C14-2012-0109,CM_3,YES
C14-2012-0109,CM_4,YES
C14-2012-0109,CM_5,YES
C14-2012-0109,CM_6,YES
C14-2012-0109,CM_7,YES
C14-2012-0109,CM_8,NO
C14-2012-0109,CM_9,YES
C14-2012-0109,CM_10,YES
C14-2012-0109,Mayor,YES
C14-2012-0109,CM_1,YES
C14-2012-0109,CM_2,YES
C14-2012-0109,CM_3,YES
C14-2012-0109,CM_4,YES
C14-2012-0109,CM_5,YES
C14-2012-0109,CM_6,YES
C14-2012-0109,CM_7,YES
C14-2012-0109,CM_8,YES
C14-2012-0109,CM_9,YES
C14-2012-0109,CM_10,NO
C14-2012-0116,Mayor,YES
C14-2012-0116,CM_1,YES
C14-2012-0116,CM_2,YES
C14-2012-0116,CM_3,YES
C14-2012-0116,CM_4,YES
C14-2012-0116,CM_5,YES
C14-2012-0116,CM_6,YES
C14-2012-0116,CM_7,NO
C14-2012-0116,CM_8,YES
C14-2012-0116,CM_9,YES
C14-2012-0116,CM_10,YES
C14-2012-0130,Mayor,YES
C14-2012-0130,CM_1,YES
C14-2012-0130,CM_2,YES
C14-2012-0130,CM_3,YES
C14-2012-0130,CM_4,YES
C14-2012-0130,CM_5,NO
C14-2012-0130,CM_6,NO
C14-2012-0130,CM_7,YES
C14-2012-0130,CM_8,YES
C14-2012-0130,CM_9,YES
C14-2012-0130,CM_10,YES
C14-2012-0130,Mayor,YES
C14-2012-0130,CM_1,YES
C14-2012-0130,CM_2,YES
C14-2012-0130,CM_3,YES
C14-2012-0130,CM_4,NO
C14-2012-0130,CM_5,YES
C14-2012-0130,CM_6,YES
C14-2012-0130,CM_7,YES
C14-2012-0130,CM_8,YES
C14-2012-0130,CM_9,NO
C14-2012-0130,CM_10,YES
C14-2012-0130,Mayor,YES
C14-2012-0130,CM_1,YES
C14-2012-0130,CM_2,YES
C14-2012-0130,CM_3,YES
C14-2012-0130,CM_4,YES
C14-2012-0130,CM_5,YES
C14-2012-0130,CM_6,YES
